Year,SAMPLE_NAME,UNIQUE_ID,LOCATION,LAND_SEA,ROCK_TYPE,ROCK_NAME,LATITUDE,LONGITUDE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEOT_WT,FEO_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,F_PPM,K_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,TL_PPM,PB_PPM,BI_PPM,RA226(PPQ),TH_PPM,TH232_PPM,PA(PPT),U_PPM,U238_PPM,CO2_PPM,H2O_PPM,OH_PPM
2000,samp. AN-046,11773-AN 46,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376,,,0.414,,,0.18,,,,
2000,samp. AN-086,11793-AN 86,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA / NICOYA COMPLEX,SUBAERIAL,VOLCANIC ROCK,BASALT,10.5,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705,,,0.635,,,0.196,,,,
2000,samp. AQ8,11966-AQ8,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA,SUBAERIAL,VOLCANIC ROCK,BASALT,9.5,-84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.616,,,0.964,,,0.379,,,,
2000,samp. AQ16,11966-AQ16,CARIBBEAN-COLOMBIAN PLATEAU /  / COSTA RICA,SUBAERIAL,VOLCANIC ROCK,BASALT,9.5,-84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585,,,0.737,,,0.261,,,,
1990,samp. IZ,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,3.59,,,,
1990,samp. AR384,,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / COSTA RICA / ARENAL,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",10.467,-84.733,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,,0.51,,,,
1990,samp. CR-I63G,11674-CR-I63G,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / IRAZU,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",9.983,-83.85,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,samp. CRAR82,11673-CR AR82,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / COSTA RICA / ARENAL,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",10.467,-84.733,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,samp. T-24-2,11598-T-24-2,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / TURRIALBA,SUBAERIAL,VOLCANIC ROCK,"BASALT, CALC-ALKALINE",10.033,-83.76701,52.54,1.04,17.19,8.33,,,9.19,6.24,0.14,1.47,3.47,0.4,,,,,,26.4,,228,142,,58,,,,,,28.7,802,21.8,142,13.1,,,,,,,,670,33.3,67,,30.3,,,,,,,,,,,,,,,,,,5.54,,,1.83,,,,
1989,samp. T-37-5,11598-T-37-5,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-SOUTHEASTERN SEGMENT / COSTA RICA / TURRIALBA,SUBAERIAL,VOLCANIC ROCK,"BASALT, CALC-ALKALINE",10.033,-83.76701,52.31,1.39,16.82,8.78,,,9.44,5.96,0.14,1.46,3.2,0.52,,,,,,26.5,,233,127,,58,,,,,,29.9,976,23.3,175,25.4,,,,,,,,680,46.9,87,,39.9,,,,,,,,,,,,,,,,,,5.88,,,1.95,,,,
