"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1210]","OCEAN ISLAND","GALAPAGOS ISLANDS / SANTA CRUZ (INDEFATIGABLE)","","-0.63","-0.63","-90.38","-90.38","SAE","","","s_E-4 [1210]","BASALT [1210]","","","","","","","","","VOL","","","","","WR [1210] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.392","4.928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.283118","","","","","","","10302",
"[604]","OCEAN ISLAND","GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO","","-0.41","-0.41","-91.03","-91.03","SAE","","","s_DG4 [604]","THOLEIITE [604]","","","","","","","","","VOL","","","","","WR [604] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10450",
"[604]","OCEAN ISLAND","GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO","","-0.41","-0.41","-91.03","-91.03","SAE","","","s_SR9A [604]","RHYOLITE [604]","","","","","","","","","VOL","","","","","WR [604] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10453",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","SE FLANK, 8.3 KM FROM CALDERA CENTER","-0.34","-0.34","-91.47","-91.47","SAE","","","s_80-61S [4796]","THOLEIITE [4796]","","","","","","","1961","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","GL [4796] ","49.57","3.47","","14.25","","","12.14","","10.67","5.94","","","0.59","2.94","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105108",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","SE FLANK, 7 KM FROM CALDERA CENTER","-0.34","-0.34","-91.47","-91.47","SAE","","","s_80-68S [4796]","THOLEIITE [4796]","","","","","","","1968","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","GL [4796] ","48.58","4.16","","13.44","","","13.25","","10.28","5.48","","","0.64","3.05","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105109",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","NW BENCH, NEAR VENT AT WNW BACK OF BENCH","-0.34","-0.34","-91.47","-91.47","SAE","","","s_84-7 [4796]","THOLEIITE [4796]","","","","","","","1984","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","GL [4796] ","48.14","4.19","","13.35","","","12.95","","9.96","5.76","","","0.71","3.12","0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105110",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","NW BENCH, NEAR VENT AT WNW BACK OF BENCH","-0.34","-0.34","-91.47","-91.47","SAE","","","s_84-7 [4796]","THOLEIITE [4796]","","","","","","","1984","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","GL [4796] ","48.06","4.18","","13.13","","","13.16","","10.03","5.66","","","0.77","3.04","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105111",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","CALDERA INTERIOR, WNW CALDERA RIM","-0.34","-0.34","-91.47","-91.47","SAE","","","s_84-12 [4796]","THOLEIITE [4796]","","","","","","","1984","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","GL [4796] ","49.05","3.39","","14.54","","","11.46","","10.57","6.36","","","0.63","2.91","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105112",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","SOUTH RIM, FROM ESE WALL FAILURE EVENT","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F88-2 [4796]","THOLEIITE [4796]","","","","","","","1988","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","GL [4796] ","48.1","3.82","","13.15","","","12.94","","10.65","5.73","0.2","","0.61","3.17","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105113",
"[4796]","OCEAN ISLAND","GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH)","ESE RIM FROM ESE WALL FAILURE EVENT","-0.34","-0.34","-91.47","-91.47","SAE","","","s_F88-3 [4796]","THOLEIITE [4796]","","","","","","","1988","PLAGIOCLASE-PHYRIC [4796] ","VOL","","","","","GL [4796] ","48.55","3.81","","14.03","","","12.62","","10.63","6.07","0.18","","0.54","2.99","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105114",
