"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[12353]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","2.4","2.4","-94","-94","SAQ","","","s_NMNH 113154-555 [12353]","NOT GIVEN [12353]","","","","","","","","","VOL","","","","","WR [12353] ","50.05","0.95","","16.54","","","","9.02","12.55","8.31","","","0.07","2.18","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.82","1.99777689501516","5.2012068757678","1.02442211567897","6.43788158703833","2.494008660899","0.894840008441956","3.54285609392432","0.633549382389695","4.63101527164716","1.01463301225892","3.08798954607975","0.435611758979805","3.0762441958229","0.445076830879306","","","0.0194","","","","","","","","","","0.104","0.0233","","","","","","","","","","","","","","","","","","","","","","","","","362203",
"[12353]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","2.4","2.4","-94","-94","SAQ","","","s_NMNH 113154-557 [12353]","NOT GIVEN [12353]","","","","","","","","","VOL","","","","","WR [12353] ","50.62","1.04","","16.49","","","","8.79","12.34","8.53","","","0.04","2.24","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5","2.70968850569943","7.4126334868511","1.29180043724635","7.76582123408336","2.90021104236887","1.06512637312684","4.09384055596904","0.742049171123528","5.52976570792254","1.19684694117626","3.51111711900516","0.51439715343428","3.45800574673992","0.509489560761516","","","0.0275","","","","","","","","","","0.213","0.0481","","","","","","","","","","","","","","","","","","","","","","","","","362204",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","3.2","3.2","-83.04","-83.04","SAQ","-2600","-2600","s_ST77D-1 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","49.54","0.87","","15.82","","1.39","7.05","","12.99","7.5","","","0.04","1.97","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","1.8","0.6","","","","","","","2","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36725",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","3.2","3.2","-83.04","-83.04","SAQ","-2600","-2600","s_ST77D-2 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","49.83","1.03","","15.59","","0.51","7.42","","12.65","8.67","","","0.01","2.16","0.09","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","","","","2.3","0.9","","","","","","","1.8","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36726",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","3.2","3.2","-83.04","-83.04","SAQ","-2600","-2600","s_ST77D-3 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","49.68","1.02","","15.6","","0.35","7.27","","12.61","8.3","","","0.02","2.3","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","251","","","","45","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","","","2.1","0.8","","0.5","","","","","2.3","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36727",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","3.2","3.2","-83.04","-83.04","SAQ","-2600","-2600","s_ST77D-4 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.41","1.1","","15.27","","0.76","6.92","","12.42","8.19","","","0.11","2.62","0.11","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","","","","2.6","1","","0.7","","","","","2.5","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36728",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","1.04","1.04","-85.42","-85.42","SAQ","-1554","-1554","s_DSD-3A [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.95","1.23","","15.84","","2.7","7.16","","12.46","6.18","","","0.15","2.33","0.11","","0.49","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","","330","293","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","7.1","","6.1","2.6","1","","0.8","","","","0.56","3.1","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36730",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","1.04","1.04","-85.42","-85.42","SAQ","-1554","-1554","s_DSD-3B [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","51.39","1.21","","16.11","","1.92","6.8","","12.61","6.57","","","0.12","2.33","0.11","","0.45","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","","317","295","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","5.1","","6.6","2.8","1","","0.8","","","","0.5","3","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36731",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","1.14","1.14","-85.6","-85.6","SAQ","-2926","-2926","s_DSD-4 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.49","2.16","","13.14","","4.03","10.35","","10.38","5.72","","","0.06","2.55","0.22","","0.33","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","","504","58","","","54","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","13.6","","13.7","5.4","1.6","","1.4","","","","0.96","5.4","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36733",
"[2105]","SUBMARINE RIDGE","GALAPAGOS RIDGE / GALAPAGOS RIDGE","","0.82","0.82","-86.13","-86.13","SAQ","-2500","-2500","s_ST717D-1 [2105]","BASALT [2105]","","","","","","","","","VOL","","","","","WR [2105] ","50.39","2.05","","12.83","","1.21","11.13","","10.54","5.99","","","0.12","2.56","0.27","","","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","","444","","","","57","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","","","","5.8","1.8","","1.4","","","","","4.3","0.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36734",
