TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,41.4216,-122.346,SAE,s_97-3 [4684],ANDESITE [4684],VOL,59.27,0.79,15.9,4.85,,,6.7,4.84,0.08,1.79,3.69,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,41.4065,-122.1368,SAE,s_83-44 [4684],ANDESITE [4684],VOL,62.26,0.61,16.93,1.92,2.64,,5.99,3.49,0.08,1.23,4.6,0.16,,,,,,,,,,,,,,,,,104,68,,,,40,,73,,,,,,26,714,11,110,,,,,,,,,,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,41.419,-122.162,SAE,s_83-46 [4684],ANDESITE [4684],VOL,62.88,0.63,17.25,1.56,2.98,,5.61,2.84,0.09,1.26,4.77,0.16,,,,,,,,,,,,,,,,,82,33,,,,23,,73,,,,,,29,557,12,105,,,,,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,41.4106,-122.1935,SAE,s_83-55 [4684],ANDESITE [4684],VOL,62.44,0.63,16.36,2.11,2.58,,5.89,3.52,0.08,1.41,4.32,0.14,,,,,,,,,,,,,,,,,103,63,,,,18,,72,,,,,,36,668,11,115,,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,CASCADES / HIGH CASCADES / CALIFORNIA / MOUNT SHASTA,41.4238,-122.1736,SAE,s_97-5 [4684],ANDESITE [4684],VOL,61.85,0.64,16.94,4.58,,,6.02,3.46,0.07,1.24,4.14,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / SAIPAN / HAGMAN FORMATION,15.2,145.72,SAE,s_MSS-135 [2390],ANDESITE [2390],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08,,9.74,2.89,0.87,3.34,,4.08,,2.67,,2.69,,,,,,,,,,,,2.96,,0.94,0.32
CONVERGENT MARGIN,KURILE ARC / KURILE ARC / BROU(GH)TON(A) / BROU(GH)TON(A),47.12,152.23,SAE,s_V-17-603 [7321] / s_V17-603 [4190],"BASALT [7321] / NOT GIVEN [2953] / ANDESITE, BASALTIC [2335]",VOL,51.53,,,,,,,7.97,,1.46,,,,0.75,6.17,,,,,,,,,,,,,,,,,,,,34,62,,,0.44,,,,,,,5.92,1,,,,,,,0.6,0.05,,,0.31,341,14,,,,,,,,,,,,,,,,0.3,,,,,,,0.053,3.1,,2.7,
CONVERGENT MARGIN,KURILE ARC / KURILE ARC / BROU(GH)TON(A) / BROU(GH)TON(A),47.12,152.23,SAE,s_KY-20/76 [11076],"ANDESITE, BASALTIC [11076]",VOL,54.04,0.72,17.14,,,5.88,9.22,7.13,0.14,1.89,2.64,0.28,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.15,,17.91,84.79,3.13,,,,,,,,,,,,1.25,214.5,13.23,33.94,3.53,16.22,3.69,1.38,3.61,0.75,4.13,0.69,2.17,0.31,2.02,0.32,2.56,0.2,,,,,,,,,28.37,,3.23,1.06
CONVERGENT MARGIN,KURILE ARC / KURILE ARC / BROU(GH)TON(A) / BROU(GH)TON(A),47.12,152.23,SAE,s_V15-307 [6818] / s_V-15-307 [3042],BASALT [6818] / ANDESITE [3042],VOL,58.22,0.67,16.3,2.24,5.77,,7.04,3.36,0.14,2.09,3.46,0.21,,,,,,,,,,,,,,,,,56,340,,,28,25,59,64,,,,,,47,470,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERGENT MARGIN,KURILE ARC / KURILE ARC / CHIRPOY (CHERNYYE) / CHERNYI,46.5,150.8,SAE,s_B-15-327 [3042],ANDESITE [3042],VOL,60.25,0.72,15.6,1.67,6.29,,7.21,2.67,0.15,1.37,3.29,0.13,,,,,,,,,,,,,,,,,220,70,,,18,15,62,77,,,,,,27,245,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,
