TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGUINA,12.96662,-87.66719,SAE,s_030211-3 [18601],"ANDESITE, BASALTIC [18601]",VOL,53.2,0.86,18.8,,,10.14,9.29,4.41,0.19,0.71,2.33,0.14,,,,,,,,,,,,,,,36,,268,15,,,,11,213,97,18,,,,,15,412,21,69,1.3,,,,,,,,,,,,,587,13,14,,,,,,,,,,,,,,,,,,,,,,,4,,2,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGUINA,13.02497,-87.60694,SAE,s_030129-11 [18601],"ANDESITE, BASALTIC [18601]",VOL,55.3,0.75,19.1,,,7.97,8.47,3.06,0.18,1.05,3.88,0.2,,,,,,,,,,,,,,,26,,198,2,,,,4,110,87,19,,,,,19,456,29,92,1.5,,,,,,,,,,,,,720,12,24,,,,,,,,,,,,,,,,,,,,,,,5,,2,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGUINA,12.9324,-87.67676,SAE,s_020205-2 [18601],"ANDESITE, BASALTIC [18601]",VOL,56.9,0.7,19.9,,,6.55,8.37,2.19,0.16,1.14,3.69,0.2,,,,,,,,,,,,,,,26,,134,4,,,,0,75,74,18,,,,,21,455,27,88,2,,,,,,,,,,,,,751,15,27,,,,,,,,,,,,,,,,,,,,,,,1,,0,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGUINA,12.96783,-87.66702,SAE,s_030211-4 [18601],ANDESITE [18601],VOL,57.2,0.71,19.7,,,7.03,8.15,2.09,0.17,1.19,3.59,0.2,,,,,,,,,,,,,,,22,,126,4,,,,4,97,83,19,,,,,24,459,27,97,1.3,,,,,,,,,,,,,787,11,28,,,,,,,,,,,,,,,,,,,,,,,4,,3,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGUINA,12.9662,-87.66988,SAE,s_030211-1 [18601],ANDESITE [18601],VOL,57.4,0.9,17.1,,,9.23,7.43,2.92,0.19,1.36,3.2,0.23,,,,,,,,,,,,,,,30,,237,2,,,,2,188,94,18,,,,,28,417,28,107,2.3,,,,,,,,,,,,,891,9,27,,,,,,,,,,,,,,,,,,,,,,,4,,3,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGUINA,13.03257,-87.59927,SAE,s_030129-8 [18601],ANDESITE [18601],VOL,57.4,0.74,19.1,,,7.09,8.1,2.28,0.16,1.22,3.67,0.2,,,,,,,,,,,,,,,23,,147,4,,,,3,66,86,20,,,,,24,447,28,96,1.9,,,,,,,,,,,,,778,9,17,,,,,,,,,,,,,,,,,,,,,,,4,,3,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGUINA,13.01304,-87.61287,SAE,s_020206-3 [18601],ANDESITE [18601],VOL,57.5,0.74,18.9,,,6.9,8.08,2.22,0.17,1.23,3.83,0.2,,,,,,,,,,,,,,,25,,125,1,,,,1,94,81,18,,,,,23,437,29,94,2,,,,,,,,,,,,,812,6,20,,,,,,,,,,,,,,,,,,,,,,,3,,0,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGUINA,12.90194,-87.52463,SAE,s_030212-3 [18601],ANDESITE [18601],VOL,57.6,0.73,18.9,,,7.28,7.92,2.23,0.16,1.25,3.73,0.2,,,,,,,,,,,,,,,23,,139,4,,,,5,98,86,20,,,,,25,440,28,98,1.1,,,,,,,,,,,,,797,6,25,,,,,,,,,,,,,,,,,,,,,,,4,,3,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGUINA,12.96725,-87.56715,SAE,s_030131-1 [18601],ANDESITE [18601],VOL,58,0.73,18.8,,,7.2,7.71,2.2,0.17,1.29,3.74,0.21,,,,,,,,,,,,,,,23,,135,4,,,,4,97,83,20,,,,,26,437,29,99,1.6,,,,,,,,,,,,,814,7,26,,,,,,,,,,,,,,,,,,,,,,,7,,1,
CONVERGENT MARGIN,CENTRAL AMERICAN VOLCANIC ARC / CENTRAL AMERICAN VOLCANIC ARC-NORTHWESTERN SEGMENT / NICARAGUA / COSIGUINA,13.03705,-87.58963,SAE,s_020206-1 [18601],ANDESITE [18601],VOL,58.5,0.76,18.4,,,6.88,7.5,2.2,0.17,1.32,3.88,0.22,,,,,,,,,,,,,,,27,,136,5,,,,2,67,84,19,,,,,26,422,31,100,1.5,,,,,,,,,,,,,855,16,16,,,,,,,,,,,,,,,,,,,,,,,2,,1,
