TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,65.45735,0.1391,14.0256,,,2.22,0.4633,0,0.0328,4.64,5.92,0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,66.06635,0.1116,14.16,,,2.28,0.5703,0.0146,0.0902,4.58,5.84,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,69.4869,0.0977,14.4672,,,2.07,0.3407,0.0432,0.0719,4.55,6.95,0.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,68.96925,0.0989,13.9584,,,2.53,0.4505,0,0.046,4.42,5.98,0.0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,63.0315,0.1014,14.6784,,,2.84,0.802,0.0128,0.1278,5.07,5.92,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,64.7773,0.1903,15.312,,,2.83,1.0071,0.0808,0.0944,4.98,5.86,0.0084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,65.5284,0.1334,14.256,,,2.47,0.5897,0.0411,0,5.54,5.37,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,65.55885,0.1337,15.0816,,,2.64,0.7986,0.0343,0.0996,5.08,5.62,0.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,63.2142,0.1684,15.2448,,,2.78,0.7774,0.0459,0.052,4.84,6.37,0.0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,64.66565,0.1152,14.112,,,2.46,0.4482,0,0.0728,4.42,6.24,0.0213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-12-14   [20692],NOT GIVEN [20692],VOL,63.7623,0.1622,15.1872,,,2.85,0.8818,0.0414,0.1799,4.99,6.17,0.0257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE RIDGE,COCOS RIDGE / COCOS RIDGE / SITE 1241,5.8428,-86.4447,SAQ,s_202-1241A-4H-4-11-14 [20692],NOT GIVEN [20692],VOL,67.09,0.1575,14.16,,,2.6,0,0.3816,0.1061,4.33,5.44,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
