TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.4,-94,SAQ,s_NMNH 113154-555 [12353],NOT GIVEN [12353],VOL,50.05,0.95,16.54,,,9.02,12.55,8.31,,0.07,2.18,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82,1.997776895,5.201206876,1.024422116,6.437881587,2.494008661,0.894840008,3.542856094,0.633549382,4.631015272,1.014633012,3.087989546,0.435611759,3.076244196,0.445076831,,,0.0194,,,,,,,,,,0.104,0.0233
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,2.4,-94,SAQ,s_NMNH 113154-557 [12353],NOT GIVEN [12353],VOL,50.62,1.04,16.49,,,8.79,12.34,8.53,,0.04,2.24,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,2.709688506,7.412633487,1.291800437,7.765821234,2.900211042,1.065126373,4.093840556,0.742049171,5.529765708,1.196846941,3.511117119,0.514397153,3.458005747,0.509489561,,,0.0275,,,,,,,,,,0.213,0.0481
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,3.2,-83.04,SAQ,s_ST77D-1 [2105],BASALT [2105],VOL,49.54,0.87,15.82,1.39,7.05,,12.99,7.5,,0.04,1.97,0.08,,,,,,,,,,,,,,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,1.8,0.6,,,,,,,2,0.32,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,3.2,-83.04,SAQ,s_ST77D-2 [2105],BASALT [2105],VOL,49.83,1.03,15.59,0.51,7.42,,12.65,8.67,,0.01,2.16,0.09,,,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,2.3,0.9,,,,,,,1.8,0.35,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,3.2,-83.04,SAQ,s_ST77D-3 [2105],BASALT [2105],VOL,49.68,1.02,15.6,0.35,7.27,,12.61,8.3,,0.02,2.3,0.09,,,,,,,,,,,,,,,38,,251,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,2.1,0.8,,0.5,,,,,2.3,0.34,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,3.2,-83.04,SAQ,s_ST77D-4 [2105],BASALT [2105],VOL,50.41,1.1,15.27,0.76,6.92,,12.42,8.19,,0.11,2.62,0.11,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,2.6,1,,0.7,,,,,2.5,0.32,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.04,-85.42,SAQ,s_DSD-3A [2105],BASALT [2105],VOL,50.95,1.23,15.84,2.7,7.16,,12.46,6.18,,0.15,2.33,0.11,,,,,,,,,,,,,,,48,,330,293,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,7.1,,6.1,2.6,1,,0.8,,,,0.56,3.1,0.45,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.04,-85.42,SAQ,s_DSD-3B [2105],BASALT [2105],VOL,51.39,1.21,16.11,1.92,6.8,,12.61,6.57,,0.12,2.33,0.11,,,,,,,,,,,,,,,48,,317,295,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,5.1,,6.6,2.8,1,,0.8,,,,0.5,3,0.46,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,1.14,-85.6,SAQ,s_DSD-4 [2105],BASALT [2105],VOL,50.49,2.16,13.14,4.03,10.35,,10.38,5.72,,0.06,2.55,0.22,,,,,,,,,,,,,,,52,,504,58,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,13.6,,13.7,5.4,1.6,,1.4,,,,0.96,5.4,0.79,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,0.82,-86.13,SAQ,s_ST717D-1 [2105],BASALT [2105],VOL,50.39,2.05,12.83,1.21,11.13,,10.54,5.99,,0.12,2.56,0.27,,,,,,,,,,,,,,,48,,444,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,5.8,1.8,,1.4,,,,,4.3,0.81,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,0.82,-86.13,SAQ,s_ST717D-2 [2105],BASALT [2105],VOL,50.74,2.14,12.92,1.63,10.92,,9.97,5.74,,0.15,2.68,0.3,,,,,,,,,,,,,,,44,,408,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,6.5,2,,1.4,,,,,6,0.92,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,0.82,-86.13,SAQ,s_ST717D-4 [2105],BASALT [2105],VOL,49.75,2.01,12.88,0.96,11.04,,10.67,6.32,,0.09,2.4,0.23,,,,,,,,,,,,,,,47,,439,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,5.2,1.7,,1.3,,,,,6.3,0.8,,,,,,,,,,,,,,
SUBMARINE RIDGE,GALAPAGOS RIDGE / GALAPAGOS RIDGE,0.85,-86.55,SAQ,s_CTW6D-2 [2105],BASALT [2105],VOL,50.58,1.87,13.66,2.22,10.95,,11.08,6.47,,0.08,2.34,0.18,,,,,,,,,,,,,,,50,,324,117,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,12.9,,11.8,4.7,1.7,,1.3,,,,,5.1,0.75,,,,,,,,,,,,,,
