TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI_PPM,BE_PPM,B_PPM,C_PPM,CO2_PPM,F_PPM,NA_PPM,MG_PPM,AL_PPM,P_PPM,S_PPM,CL_PPM,K_PPM,CA_PPM,SC_PPM,TI_PPM,V_PPM,CR_PPM,MN_PPM,FE_PPM,CO_PPM,NI_PPM,CU_PPM,ZN_PPM,GA_PPM,GE_PPM,AS_PPM,SE_PPM,BR_PPM,RB_PPM,SR_PPM,Y_PPM,ZR_PPM,NB_PPM,MO_PPM,RU_PPM,RH_PPM,PD_PPM,AG_PPM,CD_PPM,IN_PPM,SN_PPM,SB_PPM,TE_PPM,I_PPM,CS_PPM,BA_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,HF_PPM,TA_PPM,W_PPM,RE_PPM,OS_PPM,IR_PPM,PT_PPM,AU_PPM,HG_PPM,TL_PPM,PB_PPM,BI_PPM,TH_PPM,U_PPM
OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND,5.6,-87,SAE,s_COCOS 3 [20692],NOT GIVEN [20692],VOL,64.22325,0.1278,13.88,,,2.58,0.4192,0.0149,0.1749,6.95,4.17,0,26.65,,,,,,,,,,,,,3287.62,2.47,,,0,,,0.15,,,,,,,,,242.4,6.43,60.88,1077.26,395.3,,,,,,,,,,,,2.71,1.82,127.82,218.32,22.47,70.32,12.52,0.191,10.27,1.68,11.09,2.39,6.51,0.98,7.16,1.01,33.65,26.35,,,,,,,,,12.3,,44.35,8.08
OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND,5.6,-87,SAE,s_COCOS 3 [20692],NOT GIVEN [20692],VOL,63.83325,0.1241,13.96,,,2.72,0.4167,0.0222,0.1661,6.68,4.57,0.0088,16.4,,,,,,,,,,,,,3287.62,2.26,,,0,,,0.394,,,,,,,,,192.24,5.34,64.61,1042.38,337.23,,,,,,,,,,,,2.87,2.49,132.77,204.25,21.73,72.76,12.17,0.194,10.83,1.77,11.81,2.24,6.55,0.94,6.68,0.948,31.52,22.15,,,,,,,,,9.83,,40.52,6.66
OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND,5.6,-87,SAE,s_COCOS 3 [20692],NOT GIVEN [20692],VOL,63.77475,0.1692,13.48,,,2.7,0.4128,0,0.0975,7.19,4.01,0,30.13,,,,,,,,,,,,,3287.62,2.6,,,10.15,,,0,,,,,,,,,245.34,2.38,65.66,1030.03,381.9,,,,,,,,,,,,2.94,1.08,165.26,246.98,24.88,80.6,14.06,0.198,11.15,1.98,11.84,2.38,6.57,1.16,7.64,1.1,31.57,24.72,,,,,,,,,11.9,,41.08,10.04
OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND,5.6,-87,SAE,s_COCOS 3 [20692],NOT GIVEN [20692],VOL,63.9015,0.1547,13.8,,,2.68,0.4397,0.0046,0.1634,7.29,4.19,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND,5.6,-87,SAE,s_COCOS 3 [20692],NOT GIVEN [20692],VOL,64.14525,0.1369,13.68,,,3.19,0.4789,0.0157,0.1176,7.38,4.09,0.0287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND,5.6,-87,SAE,s_COCOS 3 [20692],NOT GIVEN [20692],VOL,64.24275,0.1533,13.9,,,2.73,0.4222,0,0.1641,6.91,4.23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND,5.6,-87,SAE,s_COCOS 3 [20692],NOT GIVEN [20692],VOL,63.5115,0.1534,13.78,,,2.63,0.4336,0.0123,0.0367,6.89,4.23,0.0519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND,5.6,-87,SAE,s_COCOS 3 [20692],NOT GIVEN [20692],VOL,64.272,0.1289,13.75,,,2.66,0.4242,0,0.1678,6.94,4.2,0.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND,5.6,-87,SAE,s_COCOS 3 [20692],NOT GIVEN [20692],VOL,64.22325,0.1129,13.97,,,2.76,0.4155,0,0.0713,5.93,4.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND,5.6,-87,SAE,s_COCOS 3 [20692],NOT GIVEN [20692],VOL,63.9795,0.1418,13.86,,,2.81,0.3852,0.0144,0.0654,6.69,4.5,0.0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
