TECTONIC_SETTING,LOCATION,LATITUDE,LONGITUDE,LAND_SEA,SAMPLE_NAME,ROCK_NAME,ROCK_TYPE,SIO2_WT,TIO2_WT,AL2O3_WT,FE2O3_WT,FEO_WT,FEOT_WT,CAO_WT,MGO_WT,MNO_WT,K2O_WT,NA2O_WT,P2O5_WT,LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM)
OCEAN ISLAND,GALAPAGOS ISLANDS / SANTA CRUZ (INDEFATIGABLE),-0.63,-90.38,SAE,s_E-4 [1210],BASALT [1210],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,4.928,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_DG4 [604],THOLEIITE [604],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00085,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO,-0.41,-91.03,SAE,s_SR9A [604],RHYOLITE [604],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_80-61S [4796],THOLEIITE [4796],VOL,49.57,3.47,14.25,,12.14,,10.67,5.94,,0.59,2.94,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_80-68S [4796],THOLEIITE [4796],VOL,48.58,4.16,13.44,,13.25,,10.28,5.48,,0.64,3.05,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_84-7 [4796],THOLEIITE [4796],VOL,48.14,4.19,13.35,,12.95,,9.96,5.76,,0.71,3.12,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_84-7 [4796],THOLEIITE [4796],VOL,48.06,4.18,13.13,,13.16,,10.03,5.66,,0.77,3.04,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_84-12 [4796],THOLEIITE [4796],VOL,49.05,3.39,14.54,,11.46,,10.57,6.36,,0.63,2.91,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F88-2 [4796],THOLEIITE [4796],VOL,48.1,3.82,13.15,,12.94,,10.65,5.73,0.2,0.61,3.17,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F88-3 [4796],THOLEIITE [4796],VOL,48.55,3.81,14.03,,12.62,,10.63,6.07,0.18,0.54,2.99,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_91-C [4796],THOLEIITE [4796],VOL,48.71,3.57,14.27,,12.67,,10.8,5.99,0.18,0.51,2.97,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_91-D [4796],THOLEIITE [4796],VOL,48.54,3.63,14.09,,12.62,,10.92,6.07,0.18,0.52,2.95,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_FV1 [4796],THOLEIITE [4796],VOL,49.14,3.87,13.78,,12.66,,10.95,5.5,0.26,0.59,2.95,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F145 [4796],THOLEIITE [4796],VOL,48.26,2.95,15.31,5.18,6.34,10.74,11.81,6.06,0.18,0.38,2.71,0.27,,,,,,,,,,,,,,,35.3,,350,116,,,47,53,90,89,,,,,,7,317,27,141,,,,,,,,,,,,,,90,12.7,32.1,,,5.26,1.83,,0.94,,,,,2.33,0.34,4.48,2.28,,,,,,,,,,,1.04,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F381 [4796],THOLEIITE [4796],VOL,48.21,3.28,14.04,,,11.25,11.13,6.2,0.18,0.51,2.77,0.34,,,,,,,,,,,,,,,,,392,151,,,,57,88,108,,,,,,9,316,32,181,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F356 [4796],THOLEIITE [4796],VOL,48.57,3.16,13.86,,,11.18,11.33,6.57,0.18,0.42,2.62,0.3,,,,,,,,,,,,,,,,,398,152,,,,71,104,114,,,,,,7,299,29,163,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F112 [4796],THOLEIITE [4796],VOL,47.62,3.44,13.92,,,11.72,10.96,6.18,0.19,0.51,2.79,0.34,,,,,,,,,,,,,,,,,408,179,,,,54,94,117,,,,,,8,311,34,189,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F3N8 [4796],THOLEIITE [4796],VOL,48.15,3.62,13.88,,,12.02,10.57,5.85,0.19,0.56,2.9,0.39,,,,,,,,,,,,,,,,,409,135,,,,49,92,119,,,,,,10,315,36,205,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F363 [4796],NOT GIVEN [4796],VOL,47.67,3.23,15.06,1.29,10.29,10.98,11.04,5.83,0.17,0.49,2.85,0.33,,,,,,,,,,,,,,,32.4,,386,190,,,,51,87,113,,,,,,8,324,32,181,,,,,,,,,,,,,,120,15.8,37.1,,,6.18,2.03,,0.85,,,,,2.58,0.33,4.68,,,,,,,,,,,,1.16,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F425 [4796],THOLEIITE [4796],VOL,47.36,1.97,16.34,8.86,1.62,9.34,12.04,7.93,0.15,0.27,2.36,0.16,,,,,,,,,,,,,,,30.3,,239,266,,,56.8,99,45,72,,,,,,5,322,17,89,,,,,,,,,,,,,,67,7.3,17.7,,,2.93,1.22,,0.5,,,,,1.41,0.19,2.17,1.15,,,,,,,,,,,0.6,0.11
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F3N3A [4796],THOLEIITE [4796],VOL,43.48,4.85,11.42,,,13.5,10.27,5.34,0.23,0.5,2.78,0.34,,,,,,,,,,,,,,,38.5,,572,49,,,50.4,44,100,142,,,,,,9,279,35,200,,,,,,,,,,,,,,120,17.4,42.1,,,6.79,2.4,,1.13,,,,,3.19,0.45,5.73,2.1,,,,,,,,,,,1.81,0.4
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F89-1 [4796],THOLEIITE [4796],VOL,48.15,3.11,16.51,,,10.45,11.73,5.55,0.17,0.47,2.89,0.37,,,,,,,,,,,,,,,33.1,,345,152,,,38.8,49,83,91,,,,,,8,340,29,170,,,,,,,,,,,,,,99,14.6,37.9,,,5.71,1.89,,0.97,,,,,2.45,0.37,4.13,1.61,,,,,,,,,,,1.45,0.37
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F006 [4796],THOLEIITE [4796],VOL,48.34,3.38,15.02,3.99,8.12,11.32,10.97,5.81,0.18,0.54,2.81,0.36,,,,,,,,,,,,,,,32.8,,351,142,,,49.6,48,90,112,,,,,,9,331,33,201,,,,,,,,,,,,,,114,17.5,40.6,,,6.7,2.14,,1.05,,,,,2.56,0.37,5.12,4.83,,,,,,,,,,,1.5,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_FH51A [4796],THOLEIITE [4796],VOL,47.73,2.93,15.84,,,10.56,11.84,5.98,0.17,0.43,2.64,0.3,,,,,,,,,,,,,,,,,352,195,,,,61,90,99,,,,,,8,234,29,164,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN ISLAND,GALAPAGOS ISLANDS / FERNANDINA (NARBOROUGH),-0.34,-91.47,SAE,s_F148 [4796],THOLEIITE [4796],VOL,49.05,2.59,16.39,2.7,7.1,9.85,12.38,6.71,0.16,0.35,2.44,0.25,,,,,,,,,,,,,,,32.7,,313,312,,,40.7,88,97,100,,,,,,5,354,26,158,,,,,,,,,,,,,,91,11.7,28.7,,,4.56,1.58,,0.76,,,,,2.01,0.28,3.58,1.16,,,,,,,,,,,0.96,0.3
