"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[21895]","SEAMOUNT","GALAPAGOS ISLANDS / UNNAMED SEAMOUNT (GALAPAGOS ISLANDS) / DREDGE 13","","-0.0767","-0.0767","-89.045","-89.045","SAQ","","","s_PL02-13-24 [21895]","BASALT [21895]","","","","","","","","","VOL","","","","","GL [21895] ","49.25","1.03","","16.09","","","","9.28","12.44","8.44","0.17","","0.04","2.21","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.61","91.28","","","","261.48","938.56","81.3","232.27","","","6087.44","","","","","","","","","","","","","","0.38","80.97","22.86","44.63","0.7","","","","","","","","","","","","","4.46","1.06","4.05","0.83","5.55","2.34","0.94","3.37","0.61","4.09","0.9","2.58","0.39","2.41","0.37","1.92","","","","","","","","","","0.19","","0.05","0.018","","","","","","","","","","","","","","","","","","","","","","","","","1307143",
"[21895]","SEAMOUNT","GALAPAGOS ISLANDS / UNNAMED SEAMOUNT (GALAPAGOS ISLANDS) / DREDGE 13","","-0.0767","-0.0767","-89.045","-89.045","SAQ","","","s_PL02-13-27 [21895]","BASALT [21895]","","","","","","","","","VOL","","","","","GL [21895] ","49.57","1.1","","15.58","","","","9.87","12.83","8.21","0.19","","0.03","2.35","","0.156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.18","97.19","","","","272.38","978.52","93","243.64","","","6383.48","","","","","","","","","","","","","","0.43","79.91","23.82","47.49","0.81","","","","","","","","","","","","","4.55","1.13","4.25","0.9","5.72","2.29","0.94","3.37","0.6","4.06","0.86","2.58","0.37","2.42","0.34","1.93","","","","","","","","","","0.21","","0.05","0.02","","","","","","","","","","","","","","","","","","","","","","","","","1307145",
"[21895]","SEAMOUNT","GALAPAGOS ISLANDS / UNNAMED SEAMOUNT (GALAPAGOS ISLANDS) / DREDGE 14","","0.1","0.1","-89.09","-89.09","SAQ","-1365","-1365","s_PL02-14-3 [21895]","BASALT [21895]","","","","","","","","","VOL","","","","","GL [21895] ","48.11","1.17","","17.1","","","","9.15","12.73","8.86","0.17","","0.03","2.55","","0.117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.27","124.2","","","","310.57","950.44","3.8","158.79","","","6681.36","","","","","","","","","","","","","","0.19","106.17","25.14","60.28","0.43","","","","","","","","","","","","","2.37","1.07","4.71","1.19","6.52","2.54","1.08","3.64","0.67","4.03","0.95","2.59","0.4","2.39","0.39","1.91","","","","","","","","","","0.22","","0.03","0.01","","","","","","","","","","","","","","","","","","","","","","","","","1307146",
"[21895]","SEAMOUNT","GALAPAGOS ISLANDS / UNNAMED SEAMOUNT (GALAPAGOS ISLANDS) / DREDGE 14","","0.1","0.1","-89.09","-89.09","SAQ","-1365","-1365","s_PL02-14-8 [21895]","BASALT [21895]","","","","","","","","","VOL","","","","","GL [21895] ","48.37","1.19","","17.17","","","","9.03","12.66","8.8","0.18","","0.02","2.52","","0.107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.45","123.65","","","","310.37","969.62","4.19","166.1","","","7009.4","","","","","","","","","","","","","","0.22","113.25","25.85","61.83","0.44","","","","","","","","","","","","","2.71","1.21","5.39","1.2","7.59","2.94","1.16","4.13","0.74","4.63","1.06","2.89","0.46","2.64","0.43","2.43","","","","","","","","","","0.26","","0.03","0.01","","","","","","","","","","","","","","","","","","","","","","","","","1307147",
"[21895]","SEAMOUNT","GALAPAGOS ISLANDS / UNNAMED SEAMOUNT (GALAPAGOS ISLANDS) / DREDGE 9","","-1.9","-1.9","-92.1617","-92.1617","SAQ","","","s_PL02-9-20 [21895]","BASALT [21895]","","","","","","","","","VOL","","","","","GL [21895] ","47.34","0.99","","17.77","","","","9.07","12.17","9.54","0.16","","0.02","2.34","","0.166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.99","120.53","","","","319.82","886.88","9.38","146.63","","","5435.53","","","","","","","","","","","","","","0.11","117.7","18.29","57.26","0.42","","","","","","","","","","","","","1.87","1.11","4.25","1.14","5.24","1.89","0.8","2.5","0.54","2.93","0.76","1.8","0.33","1.72","0.32","1.51","","","","","","","","","","0.22","","0.02","0.01","","","","","","","","","","","","","","","","","","","","","","","","","1307150",
"[21895]","SEAMOUNT","GALAPAGOS ISLANDS / UNNAMED SEAMOUNT (GALAPAGOS ISLANDS) / DREDGE 9","","-1.9","-1.9","-92.1617","-92.1617","SAQ","","","s_PL02-9-47 [21895]","BASALT [21895]","","","","","","","","","VOL","","","","","GL [21895] ","47.76","1.01","","17.84","","","","9.07","12.04","9.53","0.15","","0.02","2.35","","0.156","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.19","121.02","","","","315.18","903.23","9.68","160.03","","","5556.45","","","","","","","","","","","","","","0.11","120.42","19","57.9","0.43","","","","","","","","","","","","","2.02","1.06","4.44","1.13","5.05","1.98","0.8","2.77","0.58","3.03","0.82","1.88","0.35","1.81","0.35","1.53","","","","","","","","","","0.22","","0.03","0.01","","","","","","","","","","","","","","","","","","","","","","","","","1307153",
"[21895]","SEAMOUNT","GALAPAGOS ISLANDS / UNNAMED SEAMOUNT (GALAPAGOS ISLANDS) / DREDGE 9","","-1.9","-1.9","-92.1617","-92.1617","SAQ","","","s_PL02-9-51 [21895]","BASALT [21895]","","","","","","","","","VOL","","","","","GL [21895] ","47.88","1.01","","17.77","","","","9.15","12.35","9.41","0.17","","0.03","2.38","","0.174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161.96","121.67","","","","287.7","897.98","10.21","158.94","","","5931.13","","","","","","","","","","","","","","0.13","132.11","20.23","58.7","0.45","","","","","","","","","","","","","2.21","1.32","5.4","1.15","6.56","2.27","0.95","3.16","0.57","3.59","0.83","2.28","0.36","2.08","0.34","1.77","","","","","","","","","","0.3","","0.03","0.012","","","","","","","","","","","","","","","","","","","","","","","","","1307154",
"[21895]","SEAMOUNT","GALAPAGOS ISLANDS / UNNAMED SEAMOUNT (GALAPAGOS ISLANDS) / DREDGE 26","PINTA GROUP","-0.8333","-0.8333","-91.2917","-91.2917","SAQ","","","s_PL02-26-25 [21895]","BASALT [21895]","","","","","","","","","VOL","","","","","GL [21895] ","48.64","1.79","","15.64","","","","11.11","11.8","7.03","0.18","","0.11","3.05","","0.407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.83","181.46","","","","636.26","1026.42","88.85","663.66","","","10831.36","","","","","","","","","","","","","","1.07","137.55","35.91","104","2.28","","","","","","","","","","","","","10.89","3.1","10.07","1.98","11.05","3.97","1.49","5.68","1.07","6.47","1.45","3.9","0.6","3.57","0.57","3.06","","","","","","","","","","0.34","","0.18","0.052","","","","","","","","","","","","","","","","","","","","","","","","","1307167",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / LARGO","","0.1158","0.1158","-89.29","-89.29","SAQ","-1325","-2129","s_DR72-1 [22151]","BASALT [22151]","","","","PLIOCENE [22151]","","","","APHYRIC [22151] ","VOL","","","","","WR [22151] ","47.4","0.8","","17.12","","","","9.72","11.88","8.7","0.16","","0.05","2.47","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","93","22","39","0.56","","","","","","","","","","","","","5.52","0.8","3.5","0.7","4.1","1.7","0.7","2.4","0.5","3.3","0.7","2","0.3","2","0.3","1","0.04","","","","","","","","","0.15","","0.03","0.03","0.51311","","","0.702583","","18.655","","15.508","","38.076","","","","","","","","","","","","","","","1349727",
"[22151]","SEAMOUNT","GALAPAGOS ISLANDS / LARGO","","0.1158","0.1158","-89.29","-89.29","SAQ","-1325","-2129","s_DR72-3 [22151]","BASALT [22151]","","","","PLIOCENE [22151]","","","","APHYRIC [22151] ","VOL","","","","","WR [22151] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14","84","21","37","0.76","","","","","","","","","","","","","3.75","0.9","3.7","0.8","4.7","1.8","0.8","2.8","0.5","3.8","0.8","2.4","0.4","2.5","0.4","1.3","0.05","","","","","","","","","0.28","","0.03","0.01","","","","","","","","","","","","","","","","","","","","","","","","","1349728",
